1A	the	Please give me <b>[...]</b> blue book.	Please give me the blue book.	[Definite Article] specific item	Por favor, dame el libro azul.
19A	this	<b>[...]</b> is my song.	This is my song.	[Demonstrative Pronoun] referring to a specific close thing	Esta es mi canción.
20A	they	<b>[...]</b> are at work.	They are at work.	[Pronoun] third person plural subject	Ellos están en el trabajo.
21A	at	I am waiting <b>[...]</b> the bus stop.	I am waiting at the bus stop.	[Preposition] specific physical location	Estoy esperando en la parada de autobús.
21B	at	The class starts <b>[...]</b> 8 AM.	The class starts at 8 AM.	[Preposition] specific point in time	La clase empieza a las 8 AM.
22A	but	I am small <b>[...]</b> strong.	I am small but strong.	[Conjunction] introducing a contrast or exception	Soy pequeño pero fuerte.
23A	we	<b>[...]</b> are going home.	We are going home.	[Pronoun] first person plural subject	Nosotros vamos a casa.
24A	his	John lost <b>[...]</b> keys.	John lost his keys.	[Possessive Adjective] belonging to a male	John perdió sus llaves.
24B	his	This pen is <b>[...]</b>.	This pen is his.	[Pronoun] masculine possessive standalone	Este bolígrafo es suyo.
25A	from	I am <b>[...]</b> Mexico.	I am from Mexico.	[Preposition] indicating point of origin	Yo soy de México.
26A	not	I am <b>[...]</b> tired.	I am not tired.	[Adverb] indicating negation or refusal	No estoy cansado.
27A	by	The picture was drawn <b>[...]</b> my son.	The picture was drawn by my son.	[Preposition] identifying the agent performing an action	El dibujo fue hecho por mi hijo.
27B	by	I go to school <b>[...]</b> bus.	I go to school by bus.	[Preposition] method or means of doing something	Voy a la escuela en autobús.
27C	by	I need the money <b>[...]</b> tomorrow.	I need the money by tomorrow.	[Preposition] deadline or not later than	Necesito el dinero para mañana.
27D	by	I learned to play all <b>[...]</b> myself.	I learned to play all by myself.	[Preposition Phrase] doing something alone or without help	Aprendí a tocar por mi cuenta.
28A	she	<b>[...]</b> is reading.	She is reading.	[Pronoun] third person female subject	Ella está leyendo.
29A	or	Do you prefer tea <b>[...]</b> coffee?	Do you prefer tea or coffee?	[Conjunction] linking alternatives or choices	¿Prefieres té o café?
30A	as	He works <b>[...]</b> a teacher.	He works as a teacher.	[Preposition] in the role or capacity of	Él trabaja como profesor.
30B	as	My house is <b>[...]</b> big as yours.	My house is as big as yours.	[Conjunction] used in comparisons	Mi casa es tan grande como la tuya.
30C	as	I saw a dog <b>[...]</b> I was walking.	I saw a dog as I was walking.	[Conjunction] simultaneous time or while	Vi un perro mientras caminaba.
30D	as	We stayed home <b>[...]</b> it was raining.	We stayed home as it was raining.	[Conjunction] because or since	Nos quedamos en casa porque estaba lloviendo.
30E	as	I like tea <b>[...]</b> well.	I like tea as well.	[Adverb Phrase] in addition or also	Me gusta el té también.
31A	what	<b>[...]</b> is your name?	What is your name?	[Interrogative Pronoun] asking for specific information	¿Cuál es tu nombre?
31B	what	<b>[...]</b> a fast car!	What a fast car!	[Determiner] expressing strong emotion	¡Qué auto tan rápido!
31C	what	<b>[...]</b> about going to the cinema?	What about going to the cinema?	[Preposition Phrase] asking for an opinion or making a suggestion	¿Qué tal si vamos al cine?
32A	go	We have no food at home, so I need to <b>[...]</b> to the store.	We have no food at home, so I need to go to the store.	[Verb] move or travel to a place	No tenemos comida en casa, así que necesito ir a la tienda.
32B	go	You stopped talking, but please <b>[...]</b> on.	You stopped talking, but please go on.	[Phrasal Verb] continue an action	Dejaste de hablar, pero por favor continúa.
32C	go	I am <b>[...]</b> to travel.	I am going to travel.	[Auxiliary Verb] expressing future plans or intentions	Voy a viajar.
32D	go	Today is Friday, so I will <b>[...]</b> out with my friends.	Today is Friday, so I will go out with my friends.	[Phrasal Verb] leave home for a social event	Hoy es viernes, así que saldré con mis amigos.
32E	go	I am not ready, so please <b>[...]</b> ahead without me.	I am not ready, so please go ahead without me.	[Phrasal Verb] proceed or start	No estoy listo, así que por favor adelante sin mí.
33A	their	The children play with <b>[...]</b> toys.	The children play with their toys.	[Possessive Adjective] belonging to them	Los niños juegan con sus juguetes.
34A	can	I <b>[...]</b> swim well.	I can swim well.	[Modal Verb] expressing ability or capability	Puedo nadar bien.
34B	can	I was very thirsty, so I drank a cold <b>[...]</b> of cola.	I was very thirsty, so I drank a cold can of cola.	[Noun] sealed metal container for food	Tenía mucha sed, así que bebí una lata fría de cola.
34C	can	<b>[...]</b> you help me?	Can you help me?	[Modal Verb] polite request or permission	¿Puedes ayudarme?
35A	who	The boy <b>[...]</b> is running is my son.	The boy who is running is my son.	[Pronoun] referring to a person in questions or clauses	El niño que está corriendo es mi hijo.
36A	get	It was my birthday, so I <b>[...]</b> a nice gift.	It was my birthday, so I got a nice gift.	[Verb] receive or obtain	Era mi cumpleaños, así que recibí un buen regalo.
36B	get	It is very cold, so wear a jacket or you will <b>[...]</b> sick.	It is very cold, so wear a jacket or you will get sick.	[Verb] become or transition state	Hace mucho frío, así que ponte una chaqueta o te enfermarás.
36C	get	I finish work late, so I usually <b>[...]</b> home at night.	I finish work late, so I usually get home at night.	[Verb] arrive or reach destination	Termino de trabajar tarde, así que usualmente llego a casa en la noche.
36D	get	The math problem is hard, so I don't <b>[...]</b> it.	The math problem is hard, so I don't get it.	[Verb] understand or comprehend informal	El problema de matemáticas es difícil, así que no lo entiendo.
36E	get	The weather is always cold, but I can't <b>[...]</b> used to it.	The weather is always cold, but I can't get used to it.	[Verb Phrase] become accustomed to something	El clima siempre es frío, pero no puedo acostumbrarme.
36F	get	I start work early, so I must <b>[...]</b> up at 6 AM.	I start work early, so I must get up at 6 AM.	[Phrasal Verb] rise from bed	Empiezo a trabajar temprano, así que debo levantarme a las 6 AM.
36G	get	My sister is very nice, so I <b>[...]</b> along with her.	My sister is very nice, so I get along with her.	[Phrasal Verb] have a good relationship	Mi hermana es muy amable, así que me llevo bien con ella.
36H	get	I had a bad fever, but I finally <b>[...]</b> over the flu.	I had a bad fever, but I finally got over the flu.	[Phrasal Verb] recover from illness or disappointment	Tenía mucha fiebre, pero finalmente me recuperé de la gripe.
37A	if	We will stay home <b>[...]</b> it rains.	We will stay home if it rains.	[Conjunction] introducing a conditional clause	Nos quedaremos en casa si llueve.
38A	would	I <b>[...]</b> buy a car.	I would buy a car.	[Modal Verb] expressing conditional or hypothetical situations	Compraría un auto.
38B	would	I <b>[...]</b> play outside.	I would play outside.	[Modal Verb] expressing a past habit	Yo solía jugar afuera.
39A	her	I call <b>[...]</b> every day.	I call her every day.	[Pronoun] female object of a verb or preposition	La llamo todos los días.
39B	her	She put on <b>[...]</b> coat.	She put on her coat.	[Possessive Adjective] belonging to a female	Ella se puso su abrigo.
40A	all	<b>[...]</b> the kids are playing.	All the kids are playing.	[Determiner] the whole quantity or extent	Todos los niños están jugando.
41A	my	<b>[...]</b> favorite color is blue.	My favorite color is blue.	[Possessive Adjective] belonging to the speaker	Mi color favorito es el azul.
42A	make	Tomorrow is her birthday, so I will <b>[...]</b> a cake.	Tomorrow is her birthday, so I will make a cake.	[Verb] create, produce or construct	Mañana es su cumpleaños, así que haré un pastel.
42B	make	The movie is very sad, because it always <b>[...]</b> me cry.	The movie is very sad, because it always makes me cry.	[Verb] cause or force something to happen	La película es muy triste, porque siempre me hace llorar.
42C	make	He didn't read the book, so he is <b>[...]</b> it up.	He didn't read the book, so he is making it up.	[Phrasal Verb] invent a story or lie	Él no leyó el libro, así que lo está inventando.
42D	make	I have too much work, so I can't <b>[...]</b> it to the party.	I have too much work, so I can't make it to the party.	[Idiom] manage to attend, arrive or succeed	Tengo demasiado trabajo, así que no podré llegar a la fiesta.
42E	make	The teacher speaks too fast, so the lesson doesn't <b>[...]</b> sense.	The teacher speaks too fast, so the lesson doesn't make sense.	[Idiom] be logical or understandable	El profesor habla muy rápido, así que la lección no tiene sentido.
42F	make	The neighborhood is dangerous, so <b>[...]</b> sure the door is locked.	The neighborhood is dangerous, so make sure the door is locked.	[Collocation] confirm or ensure something	El barrio es peligroso, así que asegúrate de que la puerta esté cerrada.
42G	make	Both shirts are nice, so I can't <b>[...]</b> up my mind.	Both shirts are nice, so I can't make up my mind.	[Idiom] make a decision	Ambas camisas son bonitas, así que no puedo decidirme.
43A	about	We talked <b>[...]</b> movies.	We talked about movies.	[Preposition] concerning or regarding a subject	Hablamos sobre películas.
43B	about	He is <b>[...]</b> ten years old.	He is about ten years old.	[Adverb] approximately or roughly	Él tiene unos diez años.
43C	about	The movie is <b>[...]</b> to start.	The movie is about to start.	[Preposition Phrase] on the point of doing something	La película está a punto de empezar.
44A	know	I am a tourist here, so I don't <b>[...]</b> where the station is.	I am a tourist here, so I don't know where the station is.	[Verb] have information or be aware of	Soy turista aquí, así que no sé dónde está la estación.
44B	know	We are going to the pool, but do you <b>[...]</b> how to swim?	We are going to the pool, but do you know how to swim?	[Verb] have information or be aware of	Vamos a la piscina, pero ¿sabes nadar?
45A	will	I <b>[...]</b> call you tomorrow.	I will call you tomorrow.	[Modal Verb] expressing future intention or certainty	Te llamaré mañana.
45B	will	My grandpa died last week, so he left a house in his <b>[...]</b>.	My grandpa died last week, so he left a house in his will.	[Noun] legal document declaring desires after death	Mi abuelo murió la semana pasada, así que dejó una casa en su testamento.
46A	up	Look <b>[...]</b> at the stars.	Look up at the stars.	[Adverb] towards a higher position	Mira hacia arriba a las estrellas.
46B	up	You are sleeping late, so please wake <b>[...]</b>!	You are sleeping late, so please wake up!	[Particle] completion of an action or upward movement	Estás durmiendo hasta tarde, así que ¡por favor despierta!
46C	up	The choice is <b>[...]</b> to you.	The choice is up to you.	[Preposition Phrase] dependent on someone's choice or decision	La decisión depende de ti.
47A	one	I have <b>[...]</b> apple.	I have one apple.	[Number] a single unit or thing	Tengo una manzana.
47B	one	I prefer the blue <b>[...]</b>.	I prefer the blue one.	[Pronoun] noun replacement	Prefiero el azul.
48A	time	I don't have a watch, so what <b>[...]</b> is it?	I don't have a watch, so what time is it?	[Noun] duration or continuous progress of existence	No tengo reloj, así que ¿qué hora es?
48B	time	The train leaves in five minutes, so we must arrive on <b>[...]</b>.	The train leaves in five minutes, so we must arrive on time.	[Noun Phrase] punctual, not late	El tren sale en cinco minutos, así que debemos llegar a tiempo.
49A	there	Look at the tree over <b>[...]</b>.	Look at the tree over there.	[Adverb] in, at, or to that specific place	Mira el árbol allá.
49B	there	<b>[...]</b> is a dog here.	There is a dog here.	[Pronoun] existential use indicating presence or existence	Hay un perro aquí.
50A	year	I celebrate my birthday once every <b>[...]</b>.	I celebrate my birthday once every year.	[Noun] period of 365 days	Celebro mi cumpleaños una vez al año.
51A	so	I am <b>[...]</b> happy!	I am so happy!	[Adverb] to such a great extent or degree	¡Estoy tan feliz!
51B	so	I was sick <b>[...]</b> I stayed home.	I was sick so I stayed home.	[Conjunction] therefore or for that reason	Estaba enfermo así que me quedé en casa.
51C	so	I love pizza and <b>[...]</b> does he.	I love pizza and so does he.	[Adverb] in the same way or agreement	Me encanta la pizza y a él también.
52A	think	The sky is very dark, so I <b>[...]</b> it will rain.	The sky is very dark, so I think it will rain.	[Verb] have a particular belief or opinion	El cielo está muy oscuro, así que creo que lloverá.
53A	when	I will text you <b>[...]</b> I arrive.	I will text you when I arrive.	[Conjunction] at or during the time that	Te enviaré un mensaje cuando llegue.
54A	which	<b>[...]</b> color do you prefer?	Which color do you prefer?	[Pronoun] asking or identifying a specific choice	¿Qué color prefieres?
55A	them	I wear <b>[...]</b> every day.	I wear them every day.	[Pronoun] third person plural object	Los uso todos los días.
56A	some	I need to buy <b>[...]</b> water.	I need to buy some water.	[Determiner] an unspecified amount or quantity	Necesito comprar algo de agua.
56B	some	<b>[...]</b> of the boys are tall.	Some of the boys are tall.	[Pronoun] unspecified portion of a group	Algunos de los chicos son altos.
57A	me	Please give <b>[...]</b> the water.	Please give me the water.	[Pronoun] first person singular object	Por favor dame el agua.
58A	people	The concert is very famous, so there are a lot of <b>[...]</b> here.	The concert is very famous, so there are a lot of people here.	[Noun] human beings in general or plural of person	El concierto es muy famoso, así que hay muchas personas aquí.
59A	take	It is raining outside, so don't forget to <b>[...]</b> your umbrella.	It is raining outside, so don't forget to take your umbrella.	[Verb] carry or bring with oneself	Está lloviendo afuera, así que no olvides llevar tu paraguas.
59B	take	The city is very far, so it <b>[...]</b> three hours to drive there.	The city is very far, so it takes three hours to drive there.	[Verb] require or consume time	La ciudad está muy lejos, así que toma tres horas conducir hasta allá.
59C	take	We are sitting in the plane, so we will <b>[...]</b> off soon.	We are sitting in the plane, so we will take off soon.	[Phrasal Verb] depart or leave the ground	Estamos sentados en el avión, así que despegaremos pronto.
59D	take	I am going on vacation, so my mother will <b>[...]</b> care of my dog.	I am going on vacation, so my mother will take care of my dog.	[Phrasal Verb] look after or provide for someone/something	Me voy de vacaciones, así que mi madre cuidará de mi perro.
59E	take	We need to discuss the project, so the meeting will <b>[...]</b> place tomorrow.	We need to discuss the project, so the meeting will take place tomorrow.	[Idiom] occur or happen	Necesitamos discutir el proyecto, así que la reunión tendrá lugar mañana.
59F	take	The shoes are very cheap today, so you should <b>[...]</b> advantage of this sale.	The shoes are very cheap today, so you should take advantage of this sale.	[Collocation] make good use of	Los zapatos están muy baratos hoy, así que deberías aprovechar esta oferta.
60A	out	I looked <b>[...]</b> the window.	I looked out the window.	[Adverb] moving away from the inside	Miré hacia afuera por la ventana.
60B	out	I thought the movie was good, but it turned <b>[...]</b> to be boring.	I thought the movie was good, but it turned out to be boring.	[Particle] result or end up	Pensé que la película era buena, pero resultó ser aburrida.
60C	out	I cannot make coffee because we are <b>[...]</b> of milk.	I cannot make coffee because we are out of milk.	[Preposition Phrase] having no more of something left	No puedo hacer café porque nos quedamos sin leche.
61A	into	She put the water <b>[...]</b> the cup.	She put the water into the cup.	[Preposition] moving to the inside or interior of	Ella puso el agua dentro de la taza.
62A	just	I <b>[...]</b> finished my lunch.	I just finished my lunch.	[Adverb] very recently or a moment ago	Acabo de terminar mi almuerzo.
62B	just	I am <b>[...]</b> a student.	I am just a student.	[Adverb] merely, exactly or only	Soy solo un estudiante.
62C	just	The sky is dark, so take an umbrella <b>[...]</b> in case it rains.	The sky is dark, so take an umbrella just in case it rains.	[Idiom] as a precaution	El cielo está oscuro, así que lleva un paraguas por si acaso llueve.
63A	see	I lost my glasses, so I cannot <b>[...]</b> the board.	I lost my glasses, so I cannot see the board.	[Verb] perceive with the eyes	Perdí mis lentes, así que no puedo ver la pizarra.
63B	see	You explained it very well, so now I <b>[...]</b> what you mean.	You explained it very well, so now I see what you mean.	[Verb] understand or comprehend a concept	Lo explicaste muy bien, así que ahora entiendo lo que quieres decir.
63C	see	I have to go now, but I will <b>[...]</b> you later.	I have to go now, but I will see you later.	[Idiom] farewell phrase	Me tengo que ir ahora, pero te veré más tarde.
64A	him	I like <b>[...]</b>.	I like him.	[Pronoun] third person male object	Me agrada él.
65A	your	Is this <b>[...]</b> jacket?	Is this your jacket?	[Possessive Adjective] belonging to the person being spoken to	¿Es esta tu chaqueta?
66A	come	I am having a party, so please <b>[...]</b> to my house tonight.	I am having a party, so please come to my house tonight.	[Verb] move toward the speaker or a specified place	Haré una fiesta, así que por favor ven a mi casa esta noche.
66B	come	The problem was very difficult, but he <b>[...]</b> up with a great solution.	The problem was very difficult, but he came up with a great solution.	[Phrasal Verb] think of or produce an idea	El problema era muy difícil, pero a él se le ocurrió una gran solución.
66C	come	The movie starts in five minutes, so <b>[...]</b> on or we will be late!	The movie starts in five minutes, so come on or we will be late!	[Phrasal Verb] expressing encouragement, hurry, or frustration	La película empieza en cinco minutos, así que ¡date prisa o llegaremos tarde!
66D	come	I miss you a lot, so please <b>[...]</b> back home soon.	I miss you a lot, so please come back home soon.	[Phrasal Verb] return to a place	Te extraño mucho, así que por favor regresa a casa pronto.
66E	come	I was cleaning my room, and I <b>[...]</b> across an old photo.	I was cleaning my room, and I came across an old photo.	[Phrasal Verb] find by chance	Estaba limpiando mi habitación y me topé con una foto vieja.
66F	come	It is cold outside, so please <b>[...]</b> in and close the door.	It is cold outside, so please come in and close the door.	[Phrasal Verb] enter a room or building	Hace frío afuera, así que por favor entra y cierra la puerta.
67A	could	I <b>[...]</b> swim when I was five.	I could swim when I was five.	[Modal Verb] expressing past ability or possibility	Podía nadar cuando tenía cinco años.
68A	now	I am studying right <b>[...]</b>.	I am studying right now.	[Adverb] at the present time or moment	Estoy estudiando ahora mismo.
69A	than	A car is faster <b>[...]</b> a bicycle.	A car is faster than a bicycle.	[Conjunction] used to introduce the second element in a comparison	Un auto es más rápido que una bicicleta.
70A	like	Soccer is my favorite sport, so I really <b>[...]</b> playing it.	Soccer is my favorite sport, so I really like playing it.	[Verb] find pleasant or enjoy	El fútbol es mi deporte favorito, así que realmente me gusta jugarlo.
70B	like	He looks <b>[...]</b> his father.	He looks like his father.	[Preposition] having the same characteristics or similar to	Él se parece a su padre.
70C	like	I eat fruit <b>[...]</b> apples.	I eat fruit like apples.	[Preposition] such as or for example	Yo como fruta como manzanas.
71A	other	I only have one shoe, so where is the <b>[...]</b> one?	I only have one shoe, so where is the other one?	[Adjective] different or additional	Solo tengo un zapato, así que ¿dónde está el otro?
72A	how	<b>[...]</b> do you make this soup?	How do you make this soup?	[Adverb] in what way or manner	¿Cómo haces esta sopa?
72B	how	<b>[...]</b> old is your dog?	How old is your dog?	[Adverb] asking about extent or degree with adjectives	¿Cuántos años tiene tu perro?
73A	then	We ate dinner and <b>[...]</b> we watched TV.	We ate dinner and then we watched TV.	[Adverb] at that time or next in a sequence	Cenamos y luego vimos televisión.
74A	its	The dog is playing with <b>[...]</b> toy.	The dog is playing with its toy.	[Possessive Adjective] belonging to an animal or inanimate thing	El perro está jugando con su juguete.
75A	our	This is <b>[...]</b> house.	This is our house.	[Possessive Adjective] belonging to us	Esta es nuestra casa.
76A	two	I have <b>[...]</b> eyes.	I have two eyes.	[Number] the quantity of 2	Tengo dos ojos.
77A	more	I am still hungry, so I want <b>[...]</b> food.	I am still hungry, so I want more food.	[Adjective] a greater or additional amount	Todavía tengo hambre, así que quiero más comida.
78A	these	<b>[...]</b> shoes are small.	These shoes are small.	[Demonstrative Pronoun] referring to plural items close by	Estos zapatos son pequeños.
79A	want	I am very hungry, so I <b>[...]</b> to eat a burger.	I am very hungry, so I want to eat a burger.	[Verb] have a desire or wish for something	Tengo mucha hambre, así que quiero comer una hamburguesa.
80A	way	The math problem is hard, so what is the best <b>[...]</b> to solve it?	The math problem is hard, so what is the best way to solve it?	[Noun] method, style or manner of doing something	El problema de matemáticas es difícil, así que ¿cuál es la mejor manera de resolverlo?
80B	way	I am lost in the city, so can you show me the <b>[...]</b> to the hotel?	I am lost in the city, so can you show me the way to the hotel?	[Noun] route, direction or path	Estoy perdido en la ciudad, así que ¿puedes mostrarme el camino al hotel?
80C	way	That house is <b>[...]</b> too expensive.	That house is way too expensive.	[Adverb] emphasizing degree with 'too', much	Esa casa es demasiado cara.
80D	way	I am driving my car right now, so I am already on my <b>[...]</b>.	I am driving my car right now, so I am already on my way.	[Idiom] currently traveling to a destination	Estoy conduciendo mi auto ahora mismo, así que ya estoy en camino.
81A	look	The sky is beautiful, so <b>[...]</b> at that bird!	The sky is beautiful, so look at that bird!	[Verb] direct one's gaze toward someone or something	El cielo es hermoso, así que ¡mira ese pájaro!
81B	look	You are smiling a lot, so you <b>[...]</b> very happy today.	You are smiling a lot, so you look very happy today.	[Verb] have a specific appearance or seem	Estás sonriendo mucho, así que te ves muy feliz hoy.
81C	look	I lost my keys, so I need to <b>[...]</b> for them.	I lost my keys, so I need to look for them.	[Phrasal Verb] search or try to find	Perdí mis llaves, así que necesito buscarlas.
81D	look	I miss you a lot, so I <b>[...]</b> forward to seeing you.	I miss you a lot, so I look forward to seeing you.	[Phrasal Verb] await eagerly	Te extraño mucho, así que espero con ansias verte.
81E	look	I am going on vacation, so can you <b>[...]</b> after my dog?	I am going on vacation, so can you look after my dog?	[Phrasal Verb] take care of	Me voy de vacaciones, así que ¿puedes cuidar a mi perro?
82A	first	January is the <b>[...]</b> month.	January is the first month.	[Adjective] coming before all others in time or order	Enero es el primer mes.
83A	also	She speaks English and <b>[...]</b> French.	She speaks English and also French.	[Adverb] in addition or similarly	Ella habla inglés y también francés.
84A	new	My old phone broke, so I bought a <b>[...]</b> one yesterday.	My old phone broke, so I bought a new one yesterday.	[Adjective] recently created or acquired; not old	Mi teléfono viejo se rompió, así que compré uno nuevo ayer.
85A	because	I am tired <b>[...]</b> I slept little.	I am tired because I slept little.	[Conjunction] for the reason that	Estoy cansado porque dormí poco.
86A	day	The week is long, because there are seven <b>[...]</b> in it.	The week is long, because there are seven days in it.	[Noun] a period of twenty-four hours	La semana es larga, porque hay siete días en ella.
86B	day	The sun is shining, so I work during the <b>[...]</b> and sleep at night.	The sun is shining, so I work during the day and sleep at night.	[Noun] daylight hours	El sol brilla, así que trabajo durante el día y duermo de noche.
87A	use	My battery is dead, so can I <b>[...]</b> your phone?	My battery is dead, so can I use your phone?	[Verb] employ or utilize for a specific purpose	Mi batería está muerta, así que ¿puedo usar tu teléfono?
87B	use	I don't understand this machine, so what is the <b>[...]</b> of this tool?	I don't understand this machine, so what is the use of this tool?	[Noun] purpose or application	No entiendo esta máquina, así que ¿cuál es el uso de esta herramienta?
87C	used	I <b>[...]</b> to play video games.	I used to play video games.	[Modal Phrase] expressing a past habit or state	Yo solía jugar videojuegos.
88A	no	I have <b>[...]</b> money.	I have no money.	[Determiner] not any or indicating zero quantity	No tengo dinero.
88B	no	The answer is <b>[...]</b>.	The answer is no.	[Noun] refusal or negative answer	La respuesta es no.
88C	no	That story is impossible, so there is <b>[...]</b> way it is true!	That story is impossible, so there is no way it is true!	[Idiom] expressing strong disbelief or refusal	Esa historia es imposible, así que ¡de ninguna manera es cierta!
89A	man	He has a beard and a deep voice, so that tall <b>[...]</b> is my uncle.	He has a beard and a deep voice, so that tall man is my uncle.	[Noun] an adult human male	Él tiene barba y una voz profunda, así que ese hombre alto es mi tío.
90A	find	My room is very messy, so I can't <b>[...]</b> my socks.	My room is very messy, so I can't find my socks.	[Verb] discover something by chance or searching	Mi habitación está muy desordenada, así que no puedo encontrar mis calcetines.
90B	find	The rules are very easy, so I <b>[...]</b> this game very fun.	The rules are very easy, so I find this game very fun.	[Verb] realize or conclude an opinion	Las reglas son muy fáciles, así que encuentro este juego muy divertido.
90C	find	We need to go to the airport, so did you <b>[...]</b> out what time the flight leaves?	We need to go to the airport, so did you find out what time the flight leaves?	[Phrasal Verb] discover information or learn a fact	Necesitamos ir al aeropuerto, así que ¿averiguaste a qué hora sale el vuelo?
91A	here	Come <b>[...]</b> right now.	Come here right now.	[Adverb] in, at, or to this specific place	Ven aquí ahora mismo.
92A	thing	I don't know what that is, so what is that <b>[...]</b> on the table?	I don't know what that is, so what is that thing on the table?	[Noun] an inanimate object, concept or abstract entity	No sé qué es eso, así que ¿qué es esa cosa sobre la mesa?
